Sample,Species,exp_16s,cov1_cm,cov2_tp
smp_2,Prevotella_shahii,0,M,2
smp_2,Prevotella_stercorea,0,M,2
smp_2,Prevotella_timonensis,0,M,2
smp_2,Prevotellaceae_bacterium,0,M,2
smp_2,Pseudaeromonas_sharmana,0,M,2
smp_2,Pyramidobacter_piscolens,0,M,2
smp_2,Rikenella_microfusus,0,M,2
smp_2,Rikenella_sp.,0,M,2
smp_2,Robinsoniella_peoriensis,0,M,2
smp_2,Roseburia_intestinalis,0.293,M,2
smp_2,Ruminococcaceae_bacterium,0,M,2
smp_2,Ruminococcus_bicirculans,0,M,2
smp_2,Ruminococcus_champanellensis,0,M,2
smp_2,Ruminococcus_lactaris,1.332,M,2
smp_2,Ruminococcus_sp.,0,M,2
smp_2,Sanguibacteroides_justesenii,0,M,2
smp_2,Scapharca_broughtonii,0,M,2
smp_2,Scardovia_wiggsiae,0,M,2
smp_2,Sellimonas_intestinalis,0,M,2
smp_2,Sneathia_amnii,0,M,2
smp_2,Spirochaeta_perfilievii,0,M,2
smp_2,Spirochaeta_psychrophila,0,M,2
smp_2,Streptococcus_agalactiae,0,M,2
smp_2,Streptococcus_mutans,0,M,2
smp_2,Streptococcus_salivarius,0,M,2
smp_2,Streptococcus_sobrinus,0,M,2
